,copyright,num_results,results,status
0,Copyright (c) 2016 The New York Times Company.  All Rights Reserved.,2404,"{'last_modified': '2016-09-08T16:51:15.251Z', 'recurring_start_date': '2016-09-15T04:00:00.258Z', 'date_time_description': 'through October 8', 'recurring_end_date': '2016-10-08T04:00:00.281Z', 'event_detail_url': 'http://nytimes.com/events/theater/off-broadway/a-24-decade-history-of-popular-music-32843.html', 'event_id': 32843, 'times_pick': False, 'last_chance': False, 'state': 'NY', 'kid_friendly': False, 'category': 'Theater', 'subcategory': 'Off Broadway', 'previews_and_openings': True, 'festival': False, 'web_description': '<p>Taylor Mac has a song in his heart &#8212; actually, 246 of them. In this new work, Mr. Mac, a playwright, performer and part-time bird of paradise, traces America through its ditties and anthems, from the Revolutionary War to present insurrections. A series of three-hour concerts, featuring as many as two dozen musicians and assorted special guests, will culminate in a daylong marathon performance.</p>', 'event_name': '‘A 24-Decade History of Popular Music’', 'telephone': '866-811-4111', 'event_schedule_id': 36380, 'venue_website': 'stannswarehouse.org', 'critic_name': 'Alexis Soloski', 'recur_days': ['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun'], 'free': False, 'street_address': '45 Water Street, Brooklyn', 'venue_name': 'St. Ann’s Warehouse', 'long_running_show': False}",OK
1,Copyright (c) 2016 The New York Times Company.  All Rights Reserved.,2404,"{'last_modified': '2016-09-08T16:49:23.251Z', 'recurring_start_date': '2016-09-10T04:00:00.253Z', 'date_time_description': 'through Oct. 1', 'long_running_show': False, 'cross_street': 'Dominick Street', 'venue_detail_url': 'http://nytimes.com/events/venues/here-187.html', 'event_detail_url': 'http://nytimes.com/events/theater/off-off-broadway/empathitrax-32825.html', 'event_id': 32825, 'previews_and_openings': True, 'times_pick': False, 'last_chance': False, 'state': 'NY', 'kid_friendly': False, 'event_schedule_id': 36384, 'category': 'Theater', 'subcategory': 'Off Off Broadway', 'geocode_longitude': '-74.00482', 'festival': False, 'borough': 'Manhattan', 'web_description': '<p>(previews start on Saturday; opens on Tuesday) Who needs counseling when you can cure every relationship hiccup with a pill? Ana Nogueira&#8217;s new play imagines a future in which big pharma has a huge impact on one couple. Adrienne Campbell-Holt directs Justine Lupe, Genesis Oliver and Jimmi Simpson for Colt Coeur.</p>', 'event_name': '‘Empathitrax’ ', 'neighborhood': 'SoHo', 'telephone': '866-811-4111', 'postal_code': '10013', 'venue_website': 'coltcoeur.org', 'critic_name': 'Alexis Soloski', 'recur_days': ['mon', 'thu', 'fri', 'sat', 'sun'], 'city': 'New York', 'recurring_end_date': '2016-10-01T04:00:00.274Z', 'free': False, 'street_address': '145 Avenue of the Americas', 'venue_name': 'Here ', 'geocode_latitude': '40.725126'}",OK
2,Copyright (c) 2016 The New York Times Company.  All Rights Reserved.,2404,"{'last_modified': '2016-09-08T16:47:18.251Z', 'recurring_start_date': '2016-09-15T04:00:00.258Z', 'date_time_description': 'through Dec. 4', 'long_running_show': False, 'cross_street': 'between Seventh and Eighth Avenues', 'venue_detail_url': 'http://nytimes.com/events/venues/american-airlines-theater-24.html', 'event_detail_url': 'http://nytimes.com/events/theater/off-broadway/the-cherry-orchard-32824.html', 'event_id': 32824, 'previews_and_openings': True, 'times_pick': False, 'last_chance': False, 'state': 'NY', 'kid_friendly': False, 'event_schedule_id': 36379, 'category': 'Theater', 'subcategory': 'Off Broadway', 'geocode_longitude': '-73.988059', 'festival': False, 'borough': 'Manhattan', 'web_description': '<p>The Tony-winning playwright Stephen Karam often writes in a laughter-through-tears Chekhovian tone. Now he lets this influence ripen with a new version of Chekhov&#8217;s comic drama about an aristocratic family undergoing a crisis of love and real estate. Diane Lane stars as the long-absent matriarch, with John Glover as her brother and Joel Grey as a devoted servant. Simon Godwin directs.</p>', 'event_name': '‘The Cherry Orchard’', 'neighborhood': 'Times Square Theatre District', 'telephone': '212-719-1300', 'postal_code': '10036', 'venue_website': 'roundabouttheatre.org', 'critic_name': 'Alexis Soloski', 'recur_days': ['tue', 'wed', 'thu', 'fri', 'sat', 'sun'], 'city': 'New York', 'recurring_end_date': '2016-12-04T05:00:00.338Z', 'free': False, 'street_address': '227 West 42nd Street', 'venue_name': 'American Airlines Theater', 'geocode_latitude': '40.756778'}",OK
3,Copyright (c) 2016 The New York Times Company.  All Rights Reserved.,2404,"{'last_modified': '2016-09-08T16:26:31.251Z', 'recurring_start_date': '2016-09-09T04:00:00.252Z', 'date_time_description': 'Sept. 9-15', 'long_running_show': False, 'cross_street': 'between Broadway and Amsterdam Avenue', 'venue_detail_url': 'http://nytimes.com/events/venues/walter-reade-theater-lincoln-center-427.html', 'event_detail_url': 'http://nytimes.com/events/movies/film-series/to-sleep-with-anger-32851.html', 'event_id': 32851, 'previews_and_openings': False, 'times_pick': False, 'last_chance': False, 'state': 'NY', 'kid_friendly': False, 'event_schedule_id': 36377, 'category': 'Movies', 'subcategory': 'Film Series', 'geocode_longitude': '-73.983951', 'festival': False, 'borough': 'Manhattan', 'web_description': '<p>(through Thursday) Charles Burnett&#8217;s &#8220;Killer of Sheep&#8221; (1978) is widely acknowledged as a classic of independent cinema, but what of the rest of his movies? His wonderfully surreal &#8220;To Sleep With Anger&#8221; (1990), returning in a new restoration, is simultaneously a domestic drama, a horror film and a consideration of African-American regional identity in the United States. A family in Los Angeles receives a visit from Harry (Danny Glover, in a career performance), an old friend from the South who puts on an air of politeness but somehow never manages to leave. As the weeks go by, his presence seems to exert a mystical, toxic pull on the household. Mr. Burnett will appear at evening screenings on Friday and Saturday. On Saturday night, he will also host a Q. and A. after &#8220;The Glass Shield&#8221; (1995), his gripping portrayal of a rookie trooper&#8217;s encounter with racism and entrenched corruption at a Los Angeles County sheriff&#8217;s department.</p>', 'event_name': '‘To Sleep With Anger’', 'neighborhood': 'Upper West Side', 'telephone': '212-875-5601', 'postal_code': '10023', 'venue_website': 'filmlinc.com', 'critic_name': 'Ben Kenigsberg', 'recur_days': ['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun'], 'city': 'New York', 'recurring_end_date': '2016-09-15T04:00:00.258Z', 'free': False, 'street_address': '165 West 65th Street', 'venue_name': 'Walter Reade Theater, Lincoln Center', 'geocode_latitude': '40.774359'}",OK
4,Copyright (c) 2016 The New York Times Company.  All Rights Reserved.,2404,"{'last_modified': '2016-09-08T16:24:32.251Z', 'recurring_start_date': '2016-09-13T04:00:00.256Z', 'date_time_description': 'Sept. 13-18', 'long_running_show': False, 'cross_street': 'between Fifth Avenue and Avenue of the Americas', 'venue_detail_url': 'http://nytimes.com/events/venues/museum-of-modern-art-roy-and-niuta-titus-theaters-611.html', 'geocode_latitude': '40.760976', 'event_detail_url': 'http://nytimes.com/events/movies/film-series/berlin-alexanderplatz-32852.html', 'event_id': 32852, 'previews_and_openings': False, 'times_pick': False, 'last_chance': False, 'state': 'NY', 'kid_friendly': False, 'category': 'Movies', 'subcategory': 'Film Series', 'geocode_longitude': '-73.97725', 'festival': False, 'web_description': '<p>&#8220;Dekalog,&#8221; schmekalog &#8212; for those who have tired of Krzysztof Kieslowski&#8217;s 10-hour mini-series at IFC Center, the Museum of Modern Art is reviving Rainer Werner Fassbinder&#8217;s 15-and-a-half-hour &#8220;Berlin Alexanderplatz&#8221; (1980), adapted for German television from Alfred D&#246;blin&#8217;s novel. The story follows the luckless Franz Biberkopf (G&#252;nter Lamprecht) after he is released from prison into the scarcely less cruel world of the Weimar Republic, where he encounters treachery and tragedy. Watching the movie theatrically &#8212; MoMA is showing it in pieces through Sept. 18 &#8212; is a harrowing, sanity-stretching experience, worth it just for some of the more pungent episode titles: &#8220;The Punishment Begins,&#8221; &#8220;A Hammer Blow to the Head Can Injure the Soul,&#8221; &#8220;A Handful of People in the Depths of Silence,&#8221; &#8220;The Sun Warms the Skin, but Burns It Sometimes Too.&#8221;</p>', 'event_name': '‘Berlin Alexanderplatz’ ', 'neighborhood': 'Midtown', 'telephone': '212-708-9400', 'postal_code': '10019', 'venue_website': 'moma.org', 'critic_name': 'Ben Kenigsberg', 'recur_days': ['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun'], 'city': 'New York', 'recurring_end_date': '2016-09-18T04:00:00.261Z', 'free': False, 'street_address': '11 West 53rd Street', 'venue_name': 'Museum of Modern Art Roy and Niuta Titus Theaters', 'event_schedule_id': 36376}",OK
5,Copyright (c) 2016 The New York Times Company.  All Rights Reserved.,2404,"{'last_modified': '2016-09-08T16:08:12.251Z', 'date_time_description': 'Sept. 14 at 7 p.m.', 'long_running_show': False, 'cross_street': 'at 12th Street', 'venue_detail_url': 'http://nytimes.com/events/venues/strand-book-store-883.html', 'event_detail_url': 'http://nytimes.com/events/sparetimes/spoken-word/print-matters-art-literature-and-design-in-the-digital-age-32867.html', 'event_id': 32867, 'previews_and_openings': False, 'times_pick': False, 'last_chance': False, 'state': 'NY', 'kid_friendly': False, 'event_schedule_id': 36361, 'category': 'spareTimes', 'subcategory': 'Spoken Word', 'geocode_longitude': '-73.99087', 'festival': False, 'borough': 'Manhattan', 'web_description': '<p>Phong Bui, an author and co-founder of the Brooklyn Rail, hosts this panel discussion seeking to answer that familiar question of whether print is dead &#8212; or doomed &#8212; in the age of the internet. Speakers include Michael Beirut, a partner at the design consulting firm Pentagram; Dan Simon, founder of Seven Stories Press; Sharon Helgason Gallagher, founder of Distributed Art Publishers; and Paula Cooper, owner of the Paula Cooper Gallery and a co-founder of 192 Books.</p>', 'event_date_list': ['2016-09-14'], 'event_name': 'Print Matters: Art, Literature and Design in the Digital Age', 'neighborhood': 'Greenwich Village', 'telephone': '212-473-1452', 'postal_code': '10003', 'venue_website': 'strandbooks.com', 'critic_name': 'Joshua Barone', 'city': 'New York', 'free': False, 'street_address': '828 Broadway', 'venue_name': 'Strand Book Store', 'geocode_latitude': '40.733274'}",OK
6,Copyright (c) 2016 The New York Times Company.  All Rights Reserved.,2404,"{'last_modified': '2016-09-08T15:57:58.251Z', 'date_time_description': 'Sept. 14 at 7 p.m.', 'long_running_show': False, 'cross_street': 'at East 42nd Street', 'venue_detail_url': 'http://nytimes.com/events/venues/stephen-a-schwarzman-building-new-york-public-library-395.html', 'event_detail_url': 'http://nytimes.com/events/sparetimes/spoken-word/alan-cumming-32864.html', 'event_id': 32864, 'previews_and_openings': False, 'times_pick': False, 'last_chance': False, 'state': 'NY', 'kid_friendly': False, 'event_schedule_id': 36364, 'category': 'spareTimes', 'subcategory': 'Spoken Word', 'geocode_longitude': '-73.981631', 'festival': False, 'borough': 'Manhattan', 'web_description': '<p>This performance polymath discusses his whimsical new book of photographs and essays, &#8220;You Gotta Get Bigger Dreams: My Life in Stories and Pictures,&#8221; in the latest installment of the New York Public Library&#8217;s Live From the NYPL series. Mr. Cumming &#8212; whose previous memoir, &#8220;Not My Father&#8217;s Son,&#8221; was a New York Times best seller &#8212; will speak with Paul Holdengr&#228;ber, the host of the series.</p>', 'event_date_list': ['2016-09-14'], 'event_name': 'Alan Cumming', 'neighborhood': 'Midtown South', 'telephone': '917-275-6975', 'postal_code': '10018', 'venue_website': 'nypl.org/locations/schwarzman', 'critic_name': 'Joshua Barone', 'city': 'New York', 'free': False, 'street_address': 'Fifth Avenue', 'venue_name': 'Stephen A. Schwarzman Building, New York Public Library', 'geocode_latitude': '40.752917'}",OK
7,Copyright (c) 2016 The New York Times Company.  All Rights Reserved.,2404,"{'price': 'free', 'last_modified': '2016-09-08T15:49:47.251Z', 'recurring_start_date': '2016-09-15T04:00:00.258Z', 'date_time_description': 'Sept. 15-25 at various times', 'long_running_show': False, 'cross_street': 'from Houston to Canal Streets', 'geocode_latitude': '40.7193269', 'event_detail_url': 'http://nytimes.com/events/sparetimes/events/feast-of-san-gennaro-32863.html', 'event_id': 32863, 'previews_and_openings': False, 'times_pick': False, 'last_chance': False, 'state': 'NY', 'kid_friendly': False, 'category': 'spareTimes', 'subcategory': 'Events', 'geocode_longitude': '-73.99731739999999', 'festival': False, 'borough': 'Manhattan', 'web_description': '<p>This annual festival, a tribute to the patron saint of Naples, returns to Little Italy for its 90th edition. Highlights include the traditional cannoli- and meatball-eating contests. (Tony Danza will host the meatball competition.) The celebration will begin on Thursday with a musical performance and a blessing. Additional events at various times and locations; more information at sangennaro.org.</p>', 'event_name': 'Feast of San Gennaro', 'neighborhood': 'Little Italy', 'telephone': '212-768-9320', 'postal_code': '10013', 'venue_website': 'sangennaro.org', 'critic_name': 'Joshua Barone', 'recur_days': ['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun'], 'city': 'New York', 'free': True, 'street_address': 'Mulberry Street', 'recurring_end_date': '2016-09-25T04:00:00.268Z', 'event_schedule_id': 36368}",OK
8,Copyright (c) 2016 The New York Times Company.  All Rights Reserved.,2404,"{'last_modified': '2016-09-08T14:36:23.251Z', 'recurring_start_date': '2016-07-09T04:00:00.19Z', 'date_time_description': 'July 9-Sept. 18 during museum hours', 'long_running_show': False, 'cross_street': 'at 49th Avenue', 'venue_detail_url': 'http://nytimes.com/events/venues/new-york-hall-of-science-316.html', 'event_detail_url': 'http://nytimes.com/events/forchildren/going-places-the-technology-of-transport-32698.html', 'event_id': 32698, 'previews_and_openings': False, 'times_pick': False, 'last_chance': False, 'state': 'NY', 'kid_friendly': True, 'event_schedule_id': 36194, 'category': 'forChildren', 'geocode_longitude': '-73.851842', 'festival': False, 'borough': 'Queens', 'web_description': '<p>The journey is more important than the destination at this new exhibition at the New York Hall of Science. Celebrating the many ways we travel &#8212; and the physics and engineering that make those means possible &#8212; the show allows young visitors to play the roles of pilots, sailors, inventors and passengers. They can try out a flight simulator; test the speed of recumbent and racer bicycles; captain a tabletop yacht against high winds; try to pack a typical car trunk; and manage traffic control in a virtual city. They can also learn how engines work and come up with their own ideas for future transport.</p>', 'event_name': '‘Going Places — The Technology of Transport’', 'neighborhood': 'Corona', 'telephone': '718-699-0005', 'postal_code': '11368', 'venue_website': 'nysci.org', 'critic_name': 'Laurel Graeber', 'recur_days': ['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun'], 'city': 'Queens', 'recurring_end_date': '2016-09-18T04:00:00.261Z', 'free': False, 'street_address': '47-01 111th Street', 'venue_name': 'New York Hall of Science', 'geocode_latitude': '40.747901'}",OK
9,Copyright (c) 2016 The New York Times Company.  All Rights Reserved.,2404,"{'last_modified': '2016-09-08T14:35:26.251Z', 'recurring_start_date': '2016-03-18T04:00:00.77Z', 'date_time_description': 'March 18-Sept. 25. Open during museum hours. Museum is closed on Mondays.', 'long_running_show': False, 'cross_street': 'at West 76th Street', 'venue_detail_url': 'http://nytimes.com/events/venues/new-york-historical-society-322.html', 'event_detail_url': 'http://nytimes.com/events/forchildren/the-art-and-whimsy-of-mo-willems-30948.html', 'event_id': 30948, 'previews_and_openings': False, 'times_pick': False, 'last_chance': False, 'state': 'NY', 'kid_friendly': True, 'event_schedule_id': 34238, 'category': 'forChildren', 'geocode_longitude': '-73.974059', 'festival': False, 'borough': 'Manhattan', 'web_description': '<p>Mr. Willems is the author of the much-loved picture book &#8220;Don&#8217;t Let the Pigeon Drive the Bus!,&#8221; along with many other works. There&#8217;s no reason not to let the pigeon drive this exhibition at the New-York Historical Society, though, and so it does, along with Mr. Willems&#8217;s other creatures, like Elephant and Piggie, Cat the Cat and Knuffle Bunny. The show explores his creative process &#8212; it includes animation cels, sketches, wire sculptures and a video &#8212; and how New York often became his muse. Family programs are scheduled throughout the run, including readings of Mr. Willems&#8217;s books every weekday (except Mondays) at 2 p.m. and every Sunday at 11:30 a.m.</p>', 'event_name': '‘The Art and Whimsy of Mo Willems’', 'neighborhood': 'Upper West Side', 'telephone': '212-873-3400', 'postal_code': '10024', 'venue_website': 'nyhistory.org', 'critic_name': 'Laurel Graeber', 'recur_days': ['tue', 'wed', 'thu', 'fri', 'sat', 'sun'], 'city': 'New York', 'recurring_end_date': '2016-09-25T04:00:00.268Z', 'free': False, 'street_address': '170 Central Park West', 'venue_name': 'New-York Historical Society', 'geocode_latitude': '40.779128'}",OK
